heading
bitmap,, (0 , 1 , 2 , 4 , 8 , 16 , 3 , 5 , 6 , 9 , 17 , 10 , 18 , 12 , 20 , 24 , 7 , 11 , 19 , 13 , 21 , 25 , 14 , 22 , 26 , 28 , 15 , 23 , 27 , 29 , 30 , 31)
,blade, (:e---n-- , :e1--n-- , :e-2-n-- , :e--3n-- , :e---ni- , :e---n-o , :e12-n-- , :e1-3n-- , :e-23n-- , :e1--ni- , :e1--n-o , :e-2-ni- , :e-2-n-o , :e--3ni- , :e--3n-o , :e---nio , :e123n-- , :e12-ni- , :e12-n-o , :e1-3ni- , :e1-3n-o , :e1--nio , :e-23ni- , :e-23n-o , :e-2-nio , :e--3nio , :e123ni- , :e123n-o , :e12-nio , :e1-3nio , :e-23nio , :e123nio)
0 , :e---n-- , ([[1 :e---n--]] , [[1 :e1--n--]] , [[1 :e-2-n--]] , [[1 :e--3n--]] , [[1 :e---ni-]] , [[1 :e---n-o]] , [[1 :e12-n--]] , [[1 :e1-3n--]] , [[1 :e-23n--]] , [[1 :e1--ni-]] , [[1 :e1--n-o]] , [[1 :e-2-ni-]] , [[1 :e-2-n-o]] , [[1 :e--3ni-]] , [[1 :e--3n-o]] , [[1 :e---nio]] , [[1 :e123n--]] , [[1 :e12-ni-]] , [[1 :e12-n-o]] , [[1 :e1-3ni-]] , [[1 :e1-3n-o]] , [[1 :e1--nio]] , [[1 :e-23ni-]] , [[1 :e-23n-o]] , [[1 :e-2-nio]] , [[1 :e--3nio]] , [[1 :e123ni-]] , [[1 :e123n-o]] , [[1 :e12-nio]] , [[1 :e1-3nio]] , [[1 :e-23nio]] , [[1 :e123nio]])
1 , :e1--n-- , ([[1 :e1--n--]] , [[1 :e---n--]] , [[1 :e12-n--]] , [[1 :e1-3n--]] , [[1 :e1--ni-]] , [[1 :e1--n-o]] , [[1 :e-2-n--]] , [[1 :e--3n--]] , [[1 :e123n--]] , [[1 :e---ni-]] , [[1 :e---n-o]] , [[1 :e12-ni-]] , [[1 :e12-n-o]] , [[1 :e1-3ni-]] , [[1 :e1-3n-o]] , [[1 :e1--nio]] , [[1 :e-23n--]] , [[1 :e-2-ni-]] , [[1 :e-2-n-o]] , [[1 :e--3ni-]] , [[1 :e--3n-o]] , [[1 :e---nio]] , [[1 :e123ni-]] , [[1 :e123n-o]] , [[1 :e12-nio]] , [[1 :e1-3nio]] , [[1 :e-23ni-]] , [[1 :e-23n-o]] , [[1 :e-2-nio]] , [[1 :e--3nio]] , [[1 :e123nio]] , [[1 :e-23nio]])
2 , :e-2-n-- , ([[1 :e-2-n--]] , [[-1 :e12-n--]] , [[1 :e---n--]] , [[1 :e-23n--]] , [[1 :e-2-ni-]] , [[1 :e-2-n-o]] , [[-1 :e1--n--]] , [[-1 :e123n--]] , [[1 :e--3n--]] , [[-1 :e12-ni-]] , [[-1 :e12-n-o]] , [[1 :e---ni-]] , [[1 :e---n-o]] , [[1 :e-23ni-]] , [[1 :e-23n-o]] , [[1 :e-2-nio]] , [[-1 :e1-3n--]] , [[-1 :e1--ni-]] , [[-1 :e1--n-o]] , [[-1 :e123ni-]] , [[-1 :e123n-o]] , [[-1 :e12-nio]] , [[1 :e--3ni-]] , [[1 :e--3n-o]] , [[1 :e---nio]] , [[1 :e-23nio]] , [[-1 :e1-3ni-]] , [[-1 :e1-3n-o]] , [[-1 :e1--nio]] , [[-1 :e123nio]] , [[1 :e--3nio]] , [[-1 :e1-3nio]])
4 , :e--3n-- , ([[1 :e--3n--]] , [[-1 :e1-3n--]] , [[-1 :e-23n--]] , [[1 :e---n--]] , [[1 :e--3ni-]] , [[1 :e--3n-o]] , [[-1 :e123n--]] , [[-1 :e1--n--]] , [[-1 :e-2-n--]] , [[-1 :e1-3ni-]] , [[-1 :e1-3n-o]] , [[-1 :e-23ni-]] , [] , [[1 :e---ni-]] , [[1 :e---n-o]] , [[1 :e--3nio]] , [[1 :e12-n--]] , [[1 :e123ni-]] , [[1 :e123n-o]] , [[-1 :e1--ni-]] , [[-1 :e1--n-o]] , [[-1 :e1-3nio]] , [[-1 :e-2-ni-]] , [[-1 :e-2-n-o]] , [[-1 :e-23nio]] , [[1 :e---nio]] , [[1 :e12-ni-]] , [[1 :e12-n-o]] , [[1 :e123nio]] , [[-1 :e1--nio]] , [[-1 :e-2-nio]] , [[1 :e12-nio]])
8 , :e---ni- , ([[1 :e---ni-]] , [[-1 :e1--ni-]] , [[-1 :e-2-ni-]] , [[-1 :e--3ni-]] , [] , [[-1 :e---n--] [1 :e---nio]] , [[1 :e12-ni-]] , [[1 :e1-3ni-]] , [[1 :e-23ni-]] , [] , [[1 :e1--n--] [-1 :e1--nio]] , [] , [[1 :e-2-n--] [-1 :e-2-nio]] , [] , [[1 :e--3n--] [-1 :e--3nio]] , [[1 :e---ni-]] , [[-1 :e123ni-]] , [] , [[-1 :e12-n--] [1 :e12-nio]] , [] , [[-1 :e1-3n--] [1 :e1-3nio]] , [[-1 :e1--ni-]] , [] , [[-1 :e-23n--] [1 :e-23nio]] , [[-1 :e-2-ni-]] , [[-1 :e--3ni-]] , [] , [[1 :e123n--] [-1 :e123nio]] , [[1 :e12-ni-]] , [[1 :e1-3ni-]] , [[1 :e-23ni-]] , [[-1 :e123ni-]])
16 , :e---n-o , ([[1 :e---n-o]] , [[-1 :e1--n-o]] , [[-1 :e-2-n-o]] , [[-1 :e--3n-o]] , [[-1 :e---n--] [-1 :e---nio]] , [] , [[1 :e12-n-o]] , [[1 :e1-3n-o]] , [[1 :e-23n-o]] , [[1 :e1--n--] [1 :e1--nio]] , [] , [[1 :e-2-n--] [1 :e-2-nio]] , [] , [[1 :e--3n--] [1 :e--3nio]] , [] , [[-1 :e---n-o]] , [[-1 :e123n-o]] , [[-1 :e12-n--] [-1 :e12-nio]] , [] , [[-1 :e1-3n--] [-1 :e1-3nio]] , [] , [[-1 :e1--n-o]] , [[-1 :e-23n--] [-1 :e-23nio]] , [] , [[1 :e-2-n-o]] , [[1 :e--3n-o]] , [[1 :e123n--] [1 :e123nio]] , [] , [[-1 :e12-n-o]] , [[-1 :e-23n-o]] , [[-1 :e-23n-o]] , [[1 :e123n-o]])
3 , :e12-n-- , ([[1 :e12-n--]] , [[-1 :e-2-n--]] , [[1 :e1--n--]] , [[1 :e123n--]] , [[1 :e12-ni-]] , [[1 :e12-n-o]] , [[-1 :e---n--]] , [[-1 :e-23n--]] , [[1 :e1-3n--]] , [[-1 :e-2-ni-]] , [[-1 :e-2-n-o]] , [[1 :e1--ni-]] , [[1 :e1--n-o]] , [[1 :e123ni-]] , [[1 :e123n-o]] , [[1 :e12-nio]] , [[-1 :e--3n--]] , [[-1 :e---ni-]] , [[-1 :e---n-o]] , [[-1 :e-23ni-]] , [[-1 :e-23n-o]] , [[-1 :e-2-nio]] , [[1 :e1-3ni-]] , [[1 :e1-3n-o]] , [[1 :e1--nio]] , [[1 :e123nio]] , [[-1 :e--3ni-]] , [[-1 :e--3n-o]] , [[-1 :e---nio]] , [[-1 :e-23nio]] , [[1 :e1-3nio]] , [[-1 :e--3nio]])
5 , :e1-3n-- , ([[1 :e1-3n--]] , [[-1 :e--3n--]] , [[-1 :e123n--]] , [[1 :e1--n--]] , [[1 :e1-3ni-]] , [[1 :e1-3n-o]] , [[1 :e-23n--]] , [[-1 :e---n--]] , [[-1 :e12-n--]] , [[-1 :e--3ni-]] , [[-1 :e--3n-o]] , [[-1 :e123ni-]] , [[-1 :e123n-o]] , [[1 :e1--ni-]] , [[1 :e1--n-o]] , [[1 :e1-3nio]] , [[1 :e-2-n--]] , [[1 :e-23ni-]] , [[1 :e-23ni-]] , [[-1 :e---ni-]] , [[-1 :e---n-o]] , [[-1 :e--3nio]] , [[-1 :e12-ni-]] , [[-1 :e12-n-o]] , [[-1 :e123nio]] , [[1 :e1--nio]] , [[1 :e-2-ni-]] , [[1 :e-2-n-o]] , [[1 :e-23nio]] , [[1 :e---nio]] , [[-1 :e12-nio]] , [[1 :e-2-nio]])
6 , :e-23n-- , ([[1 :e-23n--]] , [[1 :e123n--]] , [[-1 :e--3n--]] , [[1 :e-2-n--]] , [[-1 :e-23ni-]] , [[1 :e-23n-o]] , [[-1 :e1-3n--]] , [[1 :e12-n--]] , [[-1 :e---n--]] , [[1 :e123ni-]] , [[1 :e123n-o]] , [[-1 :e--3ni-]] , [[-1 :e--3n-o]] , [[1 :e-2-ni-]] , [[1 :e-2-n-o]] , [[1 :e-23nio]] , [[-1 :e1--n--]] , [[-1 :e1-3ni-]] , [[-1 :e1-3n-o]] , [[1 :e12-ni-]] , [[1 :e12-n-o]] , [[1 :e123nio]] , [[-1 :e---ni-]] , [[-1 :e---n-o]] , [[-1 :e--3nio]] , [[1 :e-2-nio]] , [[-1 :e1--ni-]] , [[-1 :e1--n-o]] , [[-1 :e1-3nio]] , [[1 :e12-nio]] , [[-1 :e---nio]] , [[-1 :e1--nio]])
